id,date,machine,sensor,vibration
466348334,2024-01-21 08:18:04.000000 +00:00,2341,2363,2.397453926669468
466352732,2024-01-21 08:36:52.000000 +00:00,2341,2363,2.552825830377971
466368730,2024-01-21 09:36:52.000000 +00:00,2341,2363,0.29105024046411976
466377105,2024-01-21 10:08:58.000000 +00:00,2341,2363,3.115519532784314
466380745,2024-01-21 10:24:20.000000 +00:00,2341,2363,2.4443817599141355
466385442,2024-01-21 10:39:42.000000 +00:00,2341,2363,2.3724209054822447
466389864,2024-01-21 10:55:05.000000 +00:00,2341,2363,2.3968813365277994
466395907,2024-01-21 11:10:27.000000 +00:00,2341,2363,2.4186951644293884
466397784,2024-01-21 11:25:49.000000 +00:00,2341,2363,2.4060907260925513
466402538,2024-01-21 11:41:11.000000 +00:00,2341,2363,2.4025991980012162
466418521,2024-01-21 12:41:11.000000 +00:00,2341,2363,0.29252301189054636
466433308,2024-01-21 13:41:11.000000 +00:00,2341,2363,0.2940636660198163
466439311,2024-01-21 14:00:39.000000 +00:00,2341,2363,2.1583029425704416
466453705,2024-01-21 15:00:39.000000 +00:00,2341,2363,0.28993760367843063
466455664,2024-01-21 15:11:39.000000 +00:00,2341,2363,3.1718219398827516
466464530,2024-01-21 15:27:01.000000 +00:00,2341,2363,2.2966773308318285
466474739,2024-01-21 16:27:01.000000 +00:00,2341,2363,0.29179568938611106
466489410,2024-01-21 17:27:01.000000 +00:00,2341,2363,0.29276183475088624
466494611,2024-01-21 17:47:47.000000 +00:00,2341,2363,2.221456206313229
466509821,2024-01-21 18:47:47.000000 +00:00,2341,2363,0.293750400593828
466513116,2024-01-21 18:51:26.000000 +00:00,2341,2363,3.0929184062257495
466517022,2024-01-21 19:06:49.000000 +00:00,2341,2363,2.633831620989529
466518125,2024-01-21 19:22:11.000000 +00:00,2341,2363,2.4611041110134972
466523571,2024-01-21 19:37:33.000000 +00:00,2341,2363,2.4454972654977642
466527954,2024-01-21 19:52:55.000000 +00:00,2341,2363,2.466150564133408
466531787,2024-01-21 20:08:17.000000 +00:00,2341,2363,2.460279651376272
466535549,2024-01-21 20:23:39.000000 +00:00,2341,2363,2.4716770749569794
466550241,2024-01-21 21:23:39.000000 +00:00,2341,2363,0.29374745870549485
466552713,2024-01-21 21:32:48.000000 +00:00,2341,2363,3.137751876278345
466556844,2024-01-21 21:48:10.000000 +00:00,2341,2363,2.4666852934513104
466560782,2024-01-21 22:03:32.000000 +00:00,2341,2363,2.4586187452773083
466564135,2024-01-21 22:18:54.000000 +00:00,2341,2363,2.5222702452484183
466570173,2024-01-21 22:34:16.000000 +00:00,2341,2363,2.5159876873958167
466572176,2024-01-21 22:49:38.000000 +00:00,2341,2363,2.5282329595396282
466576364,2024-01-21 23:05:01.000000 +00:00,2341,2363,2.4483418145146603
466590299,2024-01-22 00:05:01.000000 +00:00,2341,2363,0.29495489373138617
466604761,2024-01-22 01:03:27.000000 +00:00,2341,2363,3.3065567710229398
466608767,2024-01-22 01:18:50.000000 +00:00,2341,2363,2.584886492887821
466612877,2024-01-22 01:34:12.000000 +00:00,2341,2363,2.4561348413489865
466616889,2024-01-22 01:49:35.000000 +00:00,2341,2363,2.488752745017897
466622039,2024-01-22 02:04:58.000000 +00:00,2341,2363,2.459063719592151
466624378,2024-01-22 02:20:21.000000 +00:00,2341,2363,2.515239241767697
466628919,2024-01-22 02:35:43.000000 +00:00,2341,2363,2.431807142457794
466645014,2024-01-22 03:35:43.000000 +00:00,2341,2363,0.29189489132251395
466662122,2024-01-22 04:35:43.000000 +00:00,2341,2363,0.2939359222848021
466665659,2024-01-22 04:45:20.000000 +00:00,2341,2363,3.2629799104377577
466669411,2024-01-22 05:00:42.000000 +00:00,2341,2363,2.587239126469648
466673347,2024-01-22 05:16:05.000000 +00:00,2341,2363,2.4823880335631463
466678583,2024-01-22 05:31:28.000000 +00:00,2341,2363,2.4927773944384803
466683029,2024-01-22 05:46:51.000000 +00:00,2341,2363,2.47643906026589
466687485,2024-01-22 06:02:13.000000 +00:00,2341,2363,2.497196439621694
466691813,2024-01-22 06:17:35.000000 +00:00,2341,2363,2.521829363995604
466708370,2024-01-22 07:17:35.000000 +00:00,2341,2363,0.29876359758475474
466715580,2024-01-22 07:42:28.000000 +00:00,2341,2363,3.337002428200863
466720252,2024-01-22 07:57:50.000000 +00:00,2341,2363,2.5704321366947624
466724690,2024-01-22 08:13:13.000000 +00:00,2341,2363,2.575747270100705
466729020,2024-01-22 08:28:35.000000 +00:00,2341,2363,2.542308999856598
466733396,2024-01-22 08:43:57.000000 +00:00,2341,2363,2.518234193726469
466738529,2024-01-22 08:59:19.000000 +00:00,2341,2363,2.5061599994865773
466742661,2024-01-22 09:14:41.000000 +00:00,2341,2363,2.4532085943599835
466760620,2024-01-22 10:14:41.000000 +00:00,2341,2363,0.29430691084895516
466779776,2024-01-22 11:14:41.000000 +00:00,2341,2363,0.29225323524861385
466798404,2024-01-22 12:14:41.000000 +00:00,2341,2363,0.29343514345462035
466831544,2024-01-22 13:03:06.000000 +00:00,2341,2363,3.1926316568492297
466831572,2024-01-22 13:18:28.000000 +00:00,2341,2363,2.6077868825772637
466831755,2024-01-22 13:33:50.000000 +00:00,2341,2363,2.48926233124048
466831834,2024-01-22 13:49:12.000000 +00:00,2341,2363,2.521845736243719
466833548,2024-01-22 14:04:34.000000 +00:00,2341,2363,2.5051513056746253
466838087,2024-01-22 14:19:56.000000 +00:00,2341,2363,2.4744425230805667
466843019,2024-01-22 14:35:18.000000 +00:00,2341,2363,2.4793799253335673
466859463,2024-01-22 15:23:22.000000 +00:00,2341,2363,3.3358870687980207
466910009,2024-01-22 15:38:44.000000 +00:00,2341,2363,2.642880796412012
466910148,2024-01-22 15:54:06.000000 +00:00,2341,2363,2.5846341848499037
466910518,2024-01-22 16:09:28.000000 +00:00,2341,2363,2.5690241233568627
466911075,2024-01-22 16:24:50.000000 +00:00,2341,2363,2.547303120254855
466911281,2024-01-22 16:40:12.000000 +00:00,2341,2363,2.5314176541595916
466912411,2024-01-22 17:05:47.000000 +00:00,2341,2363,2.8620015918064396
466914274,2024-01-22 18:05:47.000000 +00:00,2341,2363,0.2947779418890349
466937053,2024-01-22 19:05:47.000000 +00:00,2341,2363,0.2914072870357373
466997472,2024-01-22 20:05:47.000000 +00:00,2341,2363,0.29425614957075896
466997742,2024-01-22 20:31:34.000000 +00:00,2341,2363,3.3891626565261768
466997810,2024-01-22 20:46:56.000000 +00:00,2341,2363,2.670337348862632
466998073,2024-01-22 21:05:54.000000 +00:00,2341,2363,2.7760599061057696
466998137,2024-01-22 21:21:17.000000 +00:00,2341,2363,2.472391021919428
467001564,2024-01-22 21:36:40.000000 +00:00,2341,2363,2.499550242649815
467028119,2024-01-22 21:52:02.000000 +00:00,2341,2363,2.513970100177202
467028183,2024-01-22 22:07:25.000000 +00:00,2341,2363,2.519218867505964
467093973,2024-01-22 23:07:25.000000 +00:00,2341,2363,0.2949651446590565
467056165,2024-01-22 23:18:17.000000 +00:00,2341,2363,3.418990261337754
467051387,2024-01-22 23:33:40.000000 +00:00,2341,2363,2.614468221616098
467058993,2024-01-22 23:49:03.000000 +00:00,2341,2363,2.5711782434302943
467062006,2024-01-23 00:04:25.000000 +00:00,2341,2363,2.5574398807306986
467071222,2024-01-23 00:19:47.000000 +00:00,2341,2363,2.5445587221645587
467072222,2024-01-23 00:35:09.000000 +00:00,2341,2363,2.5011114534522205
467077631,2024-01-23 00:50:31.000000 +00:00,2341,2363,2.5468736411034065
467094458,2024-01-23 01:37:00.000000 +00:00,2341,2363,3.2367945871728816
467097719,2024-01-23 01:52:22.000000 +00:00,2341,2363,2.6025521486040293
467102585,2024-01-23 02:07:45.000000 +00:00,2341,2363,2.525279522924291
467107584,2024-01-23 02:23:07.000000 +00:00,2341,2363,2.4782622270381376
467112886,2024-01-23 02:38:29.000000 +00:00,2341,2363,2.4814437056807925
467117880,2024-01-23 02:53:51.000000 +00:00,2341,2363,2.4306362343559895
467123121,2024-01-23 03:09:13.000000 +00:00,2341,2363,2.4677088513200784
467143242,2024-01-23 04:09:13.000000 +00:00,2341,2363,0.29221965021285984
467145034,2024-01-23 04:15:03.000000 +00:00,2341,2363,3.2702779157308606
467150378,2024-01-23 04:30:25.000000 +00:00,2341,2363,2.589240049078574
467155914,2024-01-23 04:45:47.000000 +00:00,2341,2363,2.555980704117439
467161541,2024-01-23 05:01:09.000000 +00:00,2341,2363,2.536943580260016
467166723,2024-01-23 05:16:32.000000 +00:00,2341,2363,2.508790622541356
467172060,2024-01-23 05:31:54.000000 +00:00,2341,2363,2.4529171098712195
467178209,2024-01-23 05:47:16.000000 +00:00,2341,2363,2.4675568742465726
467197909,2024-01-23 06:47:16.000000 +00:00,2341,2363,0.29356197355971747
467219070,2024-01-23 07:47:16.000000 +00:00,2341,2363,0.2943303363200306
467221083,2024-01-23 07:53:04.000000 +00:00,2341,2363,3.2455122592025885
467226591,2024-01-23 08:08:27.000000 +00:00,2341,2363,2.596586803058658
467232163,2024-01-23 08:24:11.000000 +00:00,2341,2363,2.503807611882892
467237718,2024-01-23 08:39:34.000000 +00:00,2341,2363,2.520537710563951
467243950,2024-01-23 08:54:56.000000 +00:00,2341,2363,2.5128433386729943
467249170,2024-01-23 09:10:19.000000 +00:00,2341,2363,2.4884843570934385
467254529,2024-01-23 09:25:42.000000 +00:00,2341,2363,2.4524993251827105
467262277,2024-01-23 09:46:14.000000 +00:00,2341,2363,2.7236032886588637
467283218,2024-01-23 10:46:14.000000 +00:00,2341,2363,0.29322360158360616
467286193,2024-01-23 10:52:30.000000 +00:00,2341,2363,3.2141442719554907
467290343,2024-01-23 11:07:53.000000 +00:00,2341,2363,2.5031389809643336
467581409,2024-01-23 11:23:15.000000 +00:00,2341,2363,2.456939420399215
467570805,2024-01-23 11:38:37.000000 +00:00,2341,2363,2.47289885397257
467306881,2024-01-23 11:53:59.000000 +00:00,2341,2363,2.4822745972726343
467307185,2024-01-23 11:53:59.000000 +00:00,2341,2363,2.4822745972726343
